hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes
175,test_fedall.log,m(list),66,CP,LOUT,none,NO_RULE,[173],[199],[],[],null,"[null, null]",[]
175,test_heuristic.log,m(list),66,CP,LOUT,none,NO_RULE,[173],[199],[],[],null,"[null, null]",[]
180,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
180,test_fedall.log,LiteralOp 1000,71,CP,LOUT,none,NO_RULE,[],"[182, 198]",[],[],null,[],[]
180,test_heuristic.log,LiteralOp 1000,71,CP,LOUT,none,NO_RULE,[],"[182, 198]",[],[],null,[],[]
183,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
183,test_fedall.log,LiteralOp 100,68,CP,LOUT,none,NO_RULE,[],"[184, 198]",[],[],null,[],[]
183,test_heuristic.log,LiteralOp 100,68,CP,LOUT,none,NO_RULE,[],"[184, 198]",[],[],null,[],[]
184,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
184,test_fedall.log,m(list),69,CP,LOUT,none,NO_RULE,"[222, 183]",[199],[],[],null,"[null, null]",[]
184,test_heuristic.log,m(list),69,CP,LOUT,none,NO_RULE,"[222, 183]",[199],[],[],null,"[null, null]",[]
193,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
193,test_fedall.log,m(list),70,CP,LOUT,none,NO_RULE,"[222, 173]",[199],[],[],null,"[null, null]",[]
193,test_heuristic.log,m(list),70,CP,LOUT,none,NO_RULE,"[222, 173]",[199],[],[],null,"[null, null]",[]
198,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
198,test_fedall.log,m(list),72,CP,LOUT,none,NO_RULE,"[180, 183]",[199],[],[],null,"[null, null]",[]
198,test_heuristic.log,m(list),72,CP,LOUT,none,NO_RULE,"[180, 183]",[199],[],[],null,"[null, null]",[]
199,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
199,test_fedall.log,m(list),73,CP,LOUT,none,NO_RULE,"[175, 184, 193, 198]",[201],[],[],null,"[null, null, null, null]",[]
199,test_heuristic.log,m(list),73,CP,LOUT,none,NO_RULE,"[175, 184, 193, 198]",[201],[],[],null,"[null, null, null, null]",[]
200,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
200,test_fedall.log,LiteralOp matrix,74,CP,LOUT,none,NO_RULE,[],[201],[],[],null,[],[]
200,test_heuristic.log,LiteralOp matrix,74,CP,LOUT,none,NO_RULE,[],[201],[],[],null,[],[]
208,test_cost.log,fcall .builtinNS m_pca,220,FED,FOUT,ROW,<missing>,"[204, 205, 205, 207, 201]",[],<missing>,<missing>,<missing>,<missing>,<missing>
208,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
208,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
209,test_cost.log,TRead PC,203,CP,LOUT,null,<missing>,[244],[216],<missing>,<missing>,<missing>,<missing>,<missing>
209,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
209,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
210,test_cost.log,LiteralOp target/testTemp/functions/privacy/fedplanning/FederatedPCAPlanningTest/out/Z,204,CP,LOUT,null,<missing>,[],[216],<missing>,<missing>,<missing>,<missing>,<missing>
210,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
