hop,file,op,line,exec,placement,foutType,reason,childIDs,parentIDs,rewireChildIDs,rewireParentIDs,privacy,inputs,notes,guardDefaultIfUnknown
278,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
278,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
282,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
282,test_fedall.log,TWrite K,110,CP,LOUT,none,NO_RULE,[110],[],[],[],null,[null],[],<missing>
282,test_heuristic.log,TWrite K,110,CP,LOUT,none,NO_RULE,[110],[],[],[],null,[null],[],<missing>
283,test_cost.log,TWrite K,110,CP,LOUT,none,NO_FED_INPUT,[111],[212],[],[212],PUBLIC,[null],[],<missing>
283,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
283,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
284,test_cost.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
284,test_fedall.log,LiteralOp 100,114,CP,LOUT,none,NO_RULE,[],"[138, 184]",[],[],null,[],[],<missing>
284,test_heuristic.log,LiteralOp 100,114,CP,LOUT,none,NO_RULE,[],"[138, 184]",[],[],null,[],[],<missing>
290,test_cost.log,REXPAND,105,CP,LOUT,none,NO_RULE,"[100, 99, 287, 288, 289]","[108, 109]",[],[],PUBLIC,"[null, null, null, null, null]",[],<missing>
290,test_fedall.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
290,test_heuristic.log,<missing>,,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>,<missing>
