hop_id,type,operation,reason_code,description
419,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,AGGR_BINARY_COL_ROW,Operation allowed but FType is NULL
419,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,TSMM_PATTERN,Operation allowed but FType is NULL
419,ALLOWED_BUT_NULL,AggBinaryOp.AGGBINARY,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
422,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
425,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
427,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
428,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
432,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
432,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
432,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
434,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
436,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
438,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
438,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
438,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
440,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
441,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
447,ALLOWED_BUT_NULL,DataOp.TWrite,UNKNOWN_HOP_TYPE,Operation allowed but FType is NULL
447,ALLOWED_BUT_NULL,DataOp.TWrite,SCALAR_HOP,Operation allowed but FType is NULL
447,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
449,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
450,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
451,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
452,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
453,ALLOWED_BUT_NULL,DataOp.TWrite,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
472,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
473,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
474,ALLOWED_BUT_NULL,DataOp.TRead,PROPAGATE_FROM_INPUT,Operation allowed but FType is NULL
